"task","samples","model","post_processed"
"flanker","samp10000","v_block","no"
"flanker","samp10000","v_block_prev_rt_st","no"
"flanker","samp10000","v_block_runtrial_prev_rt","no"
"flanker","samp10000","v_block_runtrial_st","no"
"flanker","samp10000","v_block_st_a","no"
"flanker","samp10000","v_block_trial_prev_rt","no"
"flanker","samp10000","v_block_trial_runtrial","no"
"flanker","samp10000","v_block_trial_st","no"
"flanker","samp10000","v","no"
"flanker","samp10000","v_prev_rt_st","no"
"flanker","samp10000","v_runtrial_prev_rt_st","no"
"flanker","samp10000","v_runtrial_st","no"
"flanker","samp10000","v_runtrial_sv_st","no"
"flanker","samp10000","v_stimblock","no"
"flanker","samp10000","v_stimblock_prev_rt_st","no"
"flanker","samp10000","v_stimblock_runtrial_st","no"
"flanker","samp10000","v_stimblock_runtrial_sv_st","no"
"flanker","samp10000","v_stimblock_trial_prev_rt_st_a","no"
"flanker","samp10000","v_stimblock_trial_runtrial_st","no"
"flanker","samp10000","v_stimblock_trial_st","no"
"flanker","samp10000","v_stimblock_trial_sv_st","no"
"flanker","samp10000","v_trial","no"
"flanker","samp10000","v_trial_prev_rt_st","no"
"flanker","samp10000","v_trial_runtrial_st","no"
"flanker","samp10000","v_trial_st","no"
"flanker","samp10000","v_trial_sv_st","no"
"flanker","samp2000","v_block","no"
"flanker","samp2000","v_block_prev_rt","no"
"flanker","samp2000","v_block_prev_rt_st","no"
"flanker","samp2000","v_block_prev_rt_sv_st","no"
"flanker","samp2000","v_block_runtrial","no"
"flanker","samp2000","v_block_runtrial_prev_rt","no"
"flanker","samp2000","v_block_runtrial_prev_rt_st","no"
"flanker","samp2000","v_block_runtrial_prev_rt_sv_st","no"
"flanker","samp2000","v_block_runtrial_st","no"
"flanker","samp2000","v_block_runtrial_sv_st","no"
"flanker","samp2000","v_block_st_a","no"
"flanker","samp2000","v_block_st","no"
"flanker","samp2000","v_block_sv_st","no"
"flanker","samp2000","v_block_trial","no"
"flanker","samp2000","v_block_trial_prev_rt","no"
"flanker","samp2000","v_block_trial_prev_rt_st","no"
"flanker","samp2000","v_block_trial_prev_rt_sv_st","no"
"flanker","samp2000","v_block_trial_runtrial","no"
"flanker","samp2000","v_block_trial_runtrial_prev_rt","no"
"flanker","samp2000","v_block_trial_runtrial_prev_rt_st","no"
"flanker","samp2000","v_block_trial_runtrial_prev_rt_sv_st","no"
"flanker","samp2000","v_block_trial_runtrial_st","no"
"flanker","samp2000","v_block_trial_runtrial_sv_st","no"
"flanker","samp2000","v_block_trial_st","no"
"flanker","samp2000","v_block_trial_sv_st","no"
"flanker","samp2000","v","no"
"flanker","samp2000","v_prev_rt","no"
"flanker","samp2000","v_prev_rt_st","no"
"flanker","samp2000","v_runtrial","no"
"flanker","samp2000","v_runtrial_prev_rt","no"
"flanker","samp2000","v_runtrial_prev_rt_st","no"
"flanker","samp2000","v_runtrial_prev_rt_sv_st","no"
"flanker","samp2000","v_runtrial_st","no"
"flanker","samp2000","v_runtrial_sv_st","no"
"flanker","samp2000","v_st","no"
"flanker","samp2000","v_stimblock","no"
"flanker","samp2000","v_stimblock_prev_rt","no"
"flanker","samp2000","v_stimblock_prev_rt_st","no"
"flanker","samp2000","v_stimblock_prev_rt_sv_st","no"
"flanker","samp2000","v_stimblock_runtrial","no"
"flanker","samp2000","v_stimblock_runtrial_prev_rt","no"
"flanker","samp2000","v_stimblock_runtrial_prev_rt_st","no"
"flanker","samp2000","v_stimblock_runtrial_prev_rt_sv_st","no"
"flanker","samp2000","v_stimblock_runtrial_st","no"
"flanker","samp2000","v_stimblock_runtrial_sv_st","no"
"flanker","samp2000","v_stimblock_st_a","no"
"flanker","samp2000","v_stimblock_st","no"
"flanker","samp2000","v_stimblock_sv_st","no"
"flanker","samp2000","v_stimblock_trial","no"
"flanker","samp2000","v_stimblock_trial_prev_rt","no"
"flanker","samp2000","v_stimblock_trial_prev_rt_st_a","no"
"flanker","samp2000","v_stimblock_trial_prev_rt_st","no"
"flanker","samp2000","v_stimblock_trial_prev_rt_sv_st","no"
"flanker","samp2000","v_stimblock_trial_runtrial","no"
"flanker","samp2000","v_stimblock_trial_runtrial_prev_rt","no"
"flanker","samp2000","v_stimblock_trial_runtrial_prev_rt_st","no"
"flanker","samp2000","v_stimblock_trial_runtrial_prev_rt_sv_st","no"
"flanker","samp2000","v_stimblock_trial_runtrial_st","no"
"flanker","samp2000","v_stimblock_trial_runtrial_sv_st","no"
"flanker","samp2000","v_stimblock_trial_st","no"
"flanker","samp2000","v_stimblock_trial_sv_st","no"
"flanker","samp2000","v_sv_st","no"
"flanker","samp2000","v_trial","no"
"flanker","samp2000","v_trial_prev_rt","no"
"flanker","samp2000","v_trial_prev_rt_st","no"
"flanker","samp2000","v_trial_prev_rt_sv_st","no"
"flanker","samp2000","v_trial_runtrial","no"
"flanker","samp2000","v_trial_runtrial_st","no"
"flanker","samp2000","v_trial_runtrial_sv_st","no"
"flanker","samp2000","v_trial_st","no"
"flanker","samp2000","v_trial_sv_st","no"
"go_nogo","samp10000","a","no"
"go_nogo","samp10000","a_st","no"
"go_nogo","samp10000","a_sv","no"
"go_nogo","samp10000","a_sv_st","no"
"go_nogo","samp10000","v_a","no"
"go_nogo","samp10000","v_a_cond","no"
"go_nogo","samp10000","v_a_cond_st","no"
"go_nogo","samp10000","v_a_cond_sv","no"
"go_nogo","samp10000","v_a_cond_sv_st","no"
"go_nogo","samp10000","v_a_stim_cond","no"
"go_nogo","samp10000","v_a_sv","no"
"go_nogo","samp10000","v","no"
"go_nogo","samp10000","v_cond","no"
"go_nogo","samp10000","v_cond_st","no"
"go_nogo","samp10000","v_cond_sv","no"
"go_nogo","samp10000","v_cond_sv_st","no"
"go_nogo","samp10000","v_st","no"
"go_nogo","samp10000","v_stim_cond","no"
"go_nogo","samp10000","v_sv","no"
"go_nogo","samp10000","v_a_st","no"
"go_nogo","samp10000","v_stim_cond_sv","no"
"go_nogo","samp2000","a","no"
"go_nogo","samp2000","a_st","no"
"go_nogo","samp2000","a_sv","no"
"go_nogo","samp2000","a_sv_st","no"
"go_nogo","samp2000","v_a","no"
"go_nogo","samp2000","v_a_cond","no"
"go_nogo","samp2000","v_a_cond_st","no"
"go_nogo","samp2000","v_a_cond_sv","no"
"go_nogo","samp2000","v_a_cond_sv_st","no"
"go_nogo","samp2000","v_a_st","no"
"go_nogo","samp2000","v_a_stim_cond","no"
"go_nogo","samp2000","v_a_stim_cond_sv","no"
"go_nogo","samp2000","v_a_sv","no"
"go_nogo","samp2000","v_a_sv_st","no"
"go_nogo","samp2000","v","no"
"go_nogo","samp2000","v_cond","no"
"go_nogo","samp2000","v_cond_st","no"
"go_nogo","samp2000","v_cond_sv","no"
"go_nogo","samp2000","v_cond_sv_st","no"
"go_nogo","samp2000","v_st","no"
"go_nogo","samp2000","v_stim_cond","no"
"go_nogo","samp2000","v_stim_cond_sv","no"
"go_nogo","samp2000","v_sv","no"
"go_nogo","samp2000","v_sv_st","no"
"recent_probes","samp10000","v","no"
"recent_probes","samp10000","v_cond","no"
"recent_probes","samp10000","v_cond_st","no"
"recent_probes","samp10000","v_cond_sv","no"
"recent_probes","samp10000","v_cond_sv_st","no"
"recent_probes","samp10000","v_st","no"
"recent_probes","samp10000","v_sv","no"
"recent_probes","samp10000","v_sv_st","no"
"recent_probes","samp2000","v","no"
"recent_probes","samp2000","v_cond","no"
"recent_probes","samp2000","v_cond_st","no"
"recent_probes","samp2000","v_cond_sv","no"
"recent_probes","samp2000","v_cond_sv_st","no"
"recent_probes","samp2000","v_st","no"
"recent_probes","samp2000","v_sv","no"
"recent_probes","samp2000","v_sv_st","no"
